C,SETP.WORLD,DVD_STATIONOWNER,AEMO,PUBLIC,2017/07/08,02:15:04,0000000285202918,,0000000285202674
I,PARTICIPANT_REGISTRATION,STATIONOWNER,1,EFFECTIVEDATE,PARTICIPANTID,STATIONID,VERSIONNO,LASTCHANGED
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ETSACOR,OSBORNE,1,"1998/10/29 18:03:18"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",COALCO,NORTHP,2,"1998/11/02 12:10:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",COALCO,PLAYF,2,"1998/11/02 12:10:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",CSENERGY,CALLIDE,2,"1998/11/02 12:10:51"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",CSENERGY,SWANBANK,2,"1998/11/02 12:10:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",DELTA,MM,2,"1998/11/02 12:10:55"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",DELTA,MP,2,"1998/11/02 12:10:55"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",DELTA,VP,2,"1998/11/02 12:10:56"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",DELTA,WW,2,"1998/11/02 12:10:56"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ECOGEN,JEERA,2,"1998/11/02 12:10:57"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ECOGEN,JEERB,2,"1998/11/02 12:10:57"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ECOGEN,NEWPORT,2,"1998/11/02 12:10:57"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",EDISON,LOYYB,2,"1998/11/02 12:10:58"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ENERBRIX,ENERGYB,2,"1998/11/02 12:10:59"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ENERGEX,TBLAND,2,"1998/11/02 12:11:00"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",ETSACOR,OSBORNE,2,"1998/11/02 12:11:01"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",HAZELPWR,HAZEL,2,"1998/11/02 12:11:02"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",LOYYANGA,LOYYANGA,2,"1998/11/02 12:11:03"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",MACQGEN,BAYSW,2,"1998/11/02 12:11:04"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",MACQGEN,HUNTVGT,2,"1998/11/02 12:11:04"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",MACQGEN,LIDDELL,2,"1998/11/02 12:11:04"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,BHILLGT,2,"1998/11/02 12:11:05"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,BROWNMT,2,"1998/11/02 12:11:05"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,BURRIN,2,"1998/11/02 12:11:05"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,ERARING,2,"1998/11/02 12:11:05"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,HUMENSW,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,HUMEV,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,KEEPIT,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,KOOLKHAN,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,NORTHGT,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,SHOALHAV,2,"1998/11/02 12:11:06"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PACPOWER,WG,2,"1998/11/02 12:11:07"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PEAKCO,DRYCGT,2,"1998/11/02 12:11:08"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PEAKCO,MINTARO,2,"1998/11/02 12:11:08"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PEAKCO,PORTLCN,2,"1998/11/02 12:11:08"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",PEAKCO,SNUG,2,"1998/11/02 12:11:08"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,BARCALDN,2,"1998/11/02 12:11:09"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,COLNSV,2,"1998/11/02 12:11:09"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,G/STONE,2,"1998/11/02 12:11:10"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,MSTUART,2,"1998/11/02 12:11:10"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,YABULU,2,"1998/11/02 12:11:10"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,APS,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,PORTLAND,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,PTH,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SITHE,SITHE,2,"1998/11/02 12:11:12"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY1,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY2,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY3,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY4,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY5,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY6,2,"1998/11/02 12:11:14"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWYP,2,"1998/11/02 12:11:14"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,CLOVER,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,DARTM,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,EILDON,2,"1998/11/02 12:11:15"
